Map,Level,Algorithm,Node generated,Step,Time (s),Memory (MB)
MINI COSMOS,1,DFS,144,67,0.000329,0.035156
MINI COSMOS,2,DFS,417,188,0.001127,0.105469
MINI COSMOS,3,DFS,253,89,0.000631,0.187500
MINI COSMOS,4,DFS,271,85,0.000788,0.191406
MINI COSMOS,5,DFS,1504,218,0.004057,0.488281
MINI COSMOS,6,DFS,5689,415,0.020728,1.976562
MINI COSMOS,7,DFS,1532,227,0.005107,2.085938
MINI COSMOS,8,DFS,3559,151,0.011415,2.121094
MINI COSMOS,9,DFS,435,175,0.001255,2.121094
MINI COSMOS,10,DFS,2448,240,0.008486,2.125000
MINI COSMOS,11,DFS,2031,314,0.006607,2.132812
MINI COSMOS,12,DFS,7133,862,0.027252,3.714844
MINI COSMOS,13,DFS,4722,530,0.016085,2.578125
MINI COSMOS,14,DFS,26520,2483,0.161939,22.152344
MINI COSMOS,15,DFS,598,168,0.001549,6.621094
MINI COSMOS,16,DFS,926,228,0.002570,6.621094
MINI COSMOS,17,DFS,1183,172,0.003502,6.625000
MINI COSMOS,18,DFS,3877,282,0.014615,6.902344
MINI COSMOS,19,DFS,1446,260,0.004282,6.902344
MINI COSMOS,20,DFS,5930,288,0.020844,7.113281
MINI COSMOS,21,DFS,926,101,0.002431,7.113281
MINI COSMOS,22,DFS,4159,151,0.013893,7.113281
MINI COSMOS,23,DFS,1316,517,0.004276,7.355469
MINI COSMOS,24,DFS,24630,2619,0.130480,24.125000
MINI COSMOS,25,DFS,1730,241,0.005643,6.863281
MINI COSMOS,26,DFS,5672,587,0.019775,7.675781
MINI COSMOS,27,DFS,1032,305,0.002959,7.675781
MINI COSMOS,28,DFS,9401,875,0.033620,8.015625
MINI COSMOS,29,DFS,1239,290,0.003520,8.027344
MINI COSMOS,30,DFS,13497,620,0.048424,8.027344
MINI COSMOS,31,DFS,474,96,0.001225,8.027344
MINI COSMOS,32,DFS,505,91,0.001265,8.027344
MINI COSMOS,33,DFS,3065,214,0.010351,8.027344
MINI COSMOS,34,DFS,3467,191,0.012259,8.027344
MINI COSMOS,35,DFS,755,144,0.001977,8.027344
MINI COSMOS,36,DFS,1792,130,0.005617,8.027344
MINI COSMOS,37,DFS,1319,296,0.004089,8.027344
MINI COSMOS,38,DFS,627,70,0.002191,8.027344
MINI COSMOS,39,DFS,3922,506,0.013616,8.027344
MINI COSMOS,40,DFS,1440,160,0.004364,8.027344
MICRO COSMOS,1,DFS,15272,605,0.056227,8.027344
MICRO COSMOS,2,DFS,59031,593,0.263527,17.597656
MICRO COSMOS,3,DFS,4004,567,0.013100,15.593750
MICRO COSMOS,4,DFS,30859,113,0.135681,17.601562
MICRO COSMOS,5,DFS,163708,392,0.668096,48.867188
MICRO COSMOS,6,DFS,42398,326,0.192222,42.867188
MICRO COSMOS,7,DFS,2098,245,0.006755,40.863281
MICRO COSMOS,8,DFS,17264,459,0.068363,40.863281
MICRO COSMOS,9,DFS,9161,411,0.033436,40.863281
MICRO COSMOS,10,DFS,4519,633,0.015364,40.863281
MICRO COSMOS,11,DFS,42347,831,0.187560,41.878906
MICRO COSMOS,12,DFS,23469,517,0.094883,41.878906
MICRO COSMOS,13,DFS,8600,314,0.031232,35.875000
MICRO COSMOS,14,DFS,52234,1880,0.242631,41.609375
MICRO COSMOS,15,DFS,103347,1809,0.533662,44.984375
MICRO COSMOS,16,DFS,97256,1227,0.410243,38.300781
MICRO COSMOS,17,DFS,396552,9184,28.660340,269.273438
MICRO COSMOS,18,DFS,34973,1347,0.154718,91.976562
MICRO COSMOS,19,DFS,313039,477,1.569927,93.207031
MICRO COSMOS,20,DFS,29329,954,0.169541,83.511719
MICRO COSMOS,21,DFS,40809,625,0.164401,78.808594
MICRO COSMOS,22,DFS,326024,2552,1.698124,105.281250
MICRO COSMOS,23,DFS,7623,291,0.027091,72.269531
MICRO COSMOS,24,DFS,158717,2384,0.926181,86.882812
MICRO COSMOS,25,DFS,83670,362,0.347156,77.539062
MICRO COSMOS,26,DFS,299228,880,3.507495,77.632812
MICRO COSMOS,27,DFS,24937,926,0.127527,70.101562
MICRO COSMOS,28,DFS,1636,119,0.009593,65.117188
MICRO COSMOS,29,DFS,1827,153,0.006764,65.117188
MICRO COSMOS,30,DFS,31877,375,0.125669,68.472656
MICRO COSMOS,31,DFS,7020,237,0.027033,66.480469
MICRO COSMOS,32,DFS,9036,310,0.033000,66.519531
MICRO COSMOS,33,DFS,29434,961,0.131223,66.941406
MICRO COSMOS,34,DFS,19789,624,0.080210,66.953125
MICRO COSMOS,35,DFS,12010,72,0.050430,63.949219
MICRO COSMOS,36,DFS,23307,660,0.092084,66.183594
MICRO COSMOS,37,DFS,58234,1222,0.244695,67.628906
MICRO COSMOS,38,DFS,64553,1000,0.281358,67.535156
MICRO COSMOS,39,DFS,10534,603,0.040807,62.703125
MICRO COSMOS,40,DFS,7451,546,0.024947,58.761719
